[ERROR] `cache_position` is part of Ministral3Model.forward's signature, but not documented. Make sure to add it to the docstring of the function in /home/xqin5/.cache/huggingface/modules/transformers_modules/nvidia/Nemotron_hyphen_Labs_hyphen_Diffusion_hyphen_3B/0d51902da1f8869f83413ce642fab402fa5641e0/modeling_ministral.py.
[task] screening 220 prompts with K=8
  screened 20/220  mixed 4 (20%)  172s
  screened 40/220  mixed 9 (22%)  322s
  screened 60/220  mixed 18 (30%)  477s
  screened 80/220  mixed 27 (34%)  648s
  screened 100/220  mixed 38 (38%)  806s
  screened 120/220  mixed 47 (39%)  984s
  screened 140/220  mixed 54 (39%)  1126s
  screened 160/220  mixed 62 (39%)  1313s
  screened 180/220  mixed 70 (39%)  1465s
  screened 200/220  mixed 79 (40%)  1650s
  screened 220/220  mixed 81 (37%)  1815s
[task] screened: 81/220 mixed (37%); selected 81 mixed (oversampled) + 69 natural
  1/150 prompts, 8 examples, 25s, eta 3703s
  64/150 prompts, 492 examples, 3061s, eta 4113s
  65/150 prompts, 500 examples, 3104s, eta 4060s
  66/150 prompts, 500 examples, 3106s, eta 3953s
  67/150 prompts, 508 examples, 3165s, eta 3921s
  68/150 prompts, 516 examples, 3226s, eta 3890s
  69/150 prompts, 528 examples, 3348s, eta 3931s
  70/150 prompts, 536 examples, 3399s, eta 3884s
  71/150 prompts, 544 examples, 3466s, eta 3856s
  72/150 prompts, 552 examples, 3517s, eta 3810s
  73/150 prompts, 564 examples, 3557s, eta 3752s
  74/150 prompts, 572 examples, 3578s, eta 3674s
  75/150 prompts, 584 examples, 3675s, eta 3675s
  76/150 prompts, 592 examples, 3727s, eta 3629s
  77/150 prompts, 596 examples, 3735s, eta 3541s
  78/150 prompts, 604 examples, 3758s, eta 3469s
  79/150 prompts, 616 examples, 3836s, eta 3448s
  80/150 prompts, 616 examples, 3838s, eta 3358s
  81/150 prompts, 628 examples, 3889s, eta 3312s
  82/150 prompts, 644 examples, 4029s, eta 3341s
  83/150 prompts, 648 examples, 4045s, eta 3265s
  84/150 prompts, 656 examples, 4086s, eta 3210s
  85/150 prompts, 664 examples, 4137s, eta 3164s
  86/150 prompts, 672 examples, 4187s, eta 3116s
  87/150 prompts, 684 examples, 4293s, eta 3109s
  88/150 prompts, 696 examples, 4333s, eta 3052s
  89/150 prompts, 708 examples, 4374s, eta 2998s
  90/150 prompts, 708 examples, 4375s, eta 2917s
  91/150 prompts, 708 examples, 4376s, eta 2837s
  92/150 prompts, 716 examples, 4460s, eta 2811s
  93/150 prompts, 724 examples, 4486s, eta 2749s
  94/150 prompts, 728 examples, 4488s, eta 2674s
  95/150 prompts, 740 examples, 4553s, eta 2636s
  96/150 prompts, 740 examples, 4553s, eta 2561s
  97/150 prompts, 744 examples, 4583s, eta 2504s
  98/150 prompts, 752 examples, 4653s, eta 2469s
  99/150 prompts, 760 examples, 4713s, eta 2428s
  100/150 prompts, 768 examples, 4755s, eta 2377s
  101/150 prompts, 776 examples, 4794s, eta 2326s
  102/150 prompts, 776 examples, 4795s, eta 2257s
  103/150 prompts, 784 examples, 4850s, eta 2213s
  104/150 prompts, 796 examples, 4877s, eta 2157s
  105/150 prompts, 800 examples, 4883s, eta 2093s
  106/150 prompts, 808 examples, 4924s, eta 2044s
  107/150 prompts, 820 examples, 5014s, eta 2015s
  108/150 prompts, 828 examples, 5032s, eta 1957s
  109/150 prompts, 832 examples, 5042s, eta 1896s
  110/150 prompts, 836 examples, 5046s, eta 1835s
  111/150 prompts, 840 examples, 5066s, eta 1780s
  112/150 prompts, 844 examples, 5076s, eta 1722s
  113/150 prompts, 848 examples, 5090s, eta 1667s
  114/150 prompts, 852 examples, 5099s, eta 1610s
  115/150 prompts, 856 examples, 5104s, eta 1553s
  116/150 prompts, 860 examples, 5111s, eta 1498s
  117/150 prompts, 860 examples, 5112s, eta 1442s
  118/150 prompts, 864 examples, 5116s, eta 1387s
  119/150 prompts, 872 examples, 5137s, eta 1338s
  120/150 prompts, 876 examples, 5170s, eta 1293s
  121/150 prompts, 876 examples, 5171s, eta 1239s
  122/150 prompts, 876 examples, 5172s, eta 1187s
  123/150 prompts, 880 examples, 5179s, eta 1137s
  124/150 prompts, 884 examples, 5185s, eta 1087s
  125/150 prompts, 892 examples, 5258s, eta 1052s
  126/150 prompts, 900 examples, 5340s, eta 1017s
  127/150 prompts, 908 examples, 5404s, eta 979s
  128/150 prompts, 916 examples, 5415s, eta 931s
  129/150 prompts, 928 examples, 5571s, eta 907s
  130/150 prompts, 932 examples, 5598s, eta 861s
  131/150 prompts, 936 examples, 5610s, eta 814s
  132/150 prompts, 940 examples, 5636s, eta 769s
  133/150 prompts, 940 examples, 5637s, eta 721s
  134/150 prompts, 944 examples, 5663s, eta 676s
  135/150 prompts, 948 examples, 5682s, eta 631s
  136/150 prompts, 964 examples, 5844s, eta 602s
  137/150 prompts, 968 examples, 5852s, eta 555s
  138/150 prompts, 968 examples, 5853s, eta 509s
  139/150 prompts, 976 examples, 5869s, eta 464s
  140/150 prompts, 980 examples, 5888s, eta 421s
  141/150 prompts, 988 examples, 5978s, eta 382s
  142/150 prompts, 992 examples, 5983s, eta 337s
  143/150 prompts, 1000 examples, 5996s, eta 294s
  144/150 prompts, 1008 examples, 6064s, eta 253s
  145/150 prompts, 1016 examples, 6107s, eta 211s
  146/150 prompts, 1028 examples, 6185s, eta 169s
  147/150 prompts, 1036 examples, 6255s, eta 128s
  148/150 prompts, 1048 examples, 6320s, eta 85s
  149/150 prompts, 1056 examples, 6364s, eta 43s
  150/150 prompts, 1056 examples, 6366s, eta 0s
[task] done: 1056 examples in 6370s -> /home/xqin5/diffusion_LLM/d1_lookahead/data/labels_taskA
/home/xqin5/.conda/envs/p08_skilloverload/lib/python3.12/site-packages/transformers/modeling_rope_utils.py:1036: FutureWarning: `rope_config_validation` is deprecated and has been removed. Its functionality has been moved to RotaryEmbeddingConfigMixin.validate_rope method. PreTrainedConfig inherits this class, so please call self.validate_rope() instead. Also, make sure to use the new rope_parameters syntax. You can call self.standardize_rope_params() in the meantime.
  warnings.warn(
[transformers] Unrecognized keys in `rope_parameters` for 'rope_type'='yarn': {'llama_4_scaling_beta'}
[transformers] Unrecognized keys in `rope_parameters` for 'rope_type'='yarn': {'llama_4_scaling_beta'}
[transformers] Model config: mask_token_id must be `None` or an integer within the vocabulary (between 0 and 131071), got -1. This may result in unexpected behavior.
[transformers] The `check_model_inputs` decorator is deprecated in favor of `merge_with_config_defaults`.

Loading weights:   0%|          | 0/237 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 237/237 [00:00<00:00, 9968.41it/s]
[transformers] Unrecognized keys in `rope_parameters` for 'rope_type'='yarn': {'llama_4_scaling_beta'}
[transformers] Unrecognized keys in `rope_parameters` for 'rope_type'='yarn': {'llama_4_scaling_beta'}


